Họ tên: PHẠM HUY TUÂN
Số báo danh: 123487779789
Ngày sinh: 2025-07-25
Mã đề: 101
Điểm: 0.50/10

Chi tiết:
Câu 1: Đã chọn: A | Đúng: B ✗
Câu 2: Đã chọn: A | Đúng: A ✓
Câu 3: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 4: Đã chọn: (chưa chọn) | Đúng: A ✗
Câu 5: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 6: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 7: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 8: Đã chọn: (chưa chọn) | Đúng: A ✗
Câu 9: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 10: Đã chọn: (chưa chọn) | Đúng: A ✗
Câu 11: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 12: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 13: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 14: Đã chọn: (chưa chọn) | Đúng: D ✗
Câu 15: Đã chọn: (chưa chọn) | Đúng: A ✗
Câu 16: Đã chọn: (chưa chọn) | Đúng: A ✗
Câu 17: Đã chọn: (chưa chọn) | Đúng: D ✗
Câu 18: Đã chọn: (chưa chọn) | Đúng: A ✗
Câu 19: Đã chọn: (chưa chọn) | Đúng: A ✗
Câu 20: Đã chọn: (chưa chọn) | Đúng: A ✗
