Họ tên: PHẠM HUY TUÂN
Số báo danh: 123487779789
Ngày sinh: 2025-07-30
Mã đề: 102
Điểm: 0.50/10

Chi tiết:
Câu 1: Đã chọn: A | Đúng: B ✗
Câu 2: Đã chọn: A | Đúng: C ✗
Câu 3: Đã chọn: A | Đúng: A ✓
Câu 4: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 5: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 6: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 7: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 8: Đã chọn: (chưa chọn) | Đúng: A ✗
Câu 9: Đã chọn: (chưa chọn) | Đúng: A ✗
Câu 10: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 11: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 12: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 13: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 14: Đã chọn: (chưa chọn) | Đúng: B ✗
Câu 15: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 16: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 17: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 18: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 19: Đã chọn: (chưa chọn) | Đúng: C ✗
Câu 20: Đã chọn: (chưa chọn) | Đúng: A ✗
